source,target,weight,type
"Tyler, The Creator",Playboi Carti,1,undirected
Quavo,T.I.,1,undirected
Grandmaster Caz,Kool Moe Dee,1,undirected
Domo Genesis,"Tyler, The Creator",1,undirected
DJ Mustard,Jeezy,1,undirected
Lyquin,Skeme,1,undirected
The Lacs,Bubba Sparxxx,1,undirected
Lil Uzi Vert,Offset,1,undirected
Tech N9ne Collabos,Stevie Stone,4,undirected
Too $hort,Erk Tha Jerk,1,undirected
Malik,Baby Bash,1,undirected
Bun B,Apathy,1,undirected
Devin The Dude,Rittz,1,undirected
Randy Nota Loca,DJ Luian,2,undirected
Kyla,WizKid,1,undirected
Ty Dolla $ign,Kanye West,1,undirected
Lil Uzi Vert,A$AP Mob,1,undirected
Ariana DeBose,Ephraim Sykes,1,undirected
Cam'Ron,Pete Rock,1,undirected
Okieriete Onaodowan,Lin-Manuel Miranda,10,undirected
C-Murder,2Meka,1,undirected
Grieves,Daveed Diggs,1,undirected
Johnny Cinco,Philthy Rich,1,undirected
The Game,Skeme,1,undirected
Twista,Bun B,1,undirected
Suga Free,Snoop Dogg,1,undirected
Da$H,Kendra Foster,1,undirected
Riff Raff,Lil Durk,1,undirected
Gucci Mane,Peewee Longway,1,undirected
Pharrell Williams,Skepta,1,undirected
Devin The Dude,Berner,1,undirected
Trae Tha Truth,Young Thug,1,undirected
Jadakiss,Nipsey Hussle,1,undirected
Boosie Badazz,Young Dolph,1,undirected
Jadakiss,Wiz Khalifa,1,undirected
Future,M.I.A.,1,undirected
Brookfield Duece,Marsha Ambrosius,1,undirected
Lil Wayne,2 Chainz,8,undirected
Ying Yang Twins,Pouya,1,undirected
DJ Khaled,Chris Brown,1,undirected
Xavier Omär,Noname,1,undirected
The Lonely Island,Emma Stone,1,undirected
D.R.A.M.,Young Thug,1,undirected
Rittz,MJG,1,undirected
Anthony Ramos,Daveed Diggs,5,undirected
Dream Junkies,Murs,1,undirected
Too $hort,King Lil G,1,undirected
OT Genesis,Jeezy,1,undirected
YG,Quavo,1,undirected
The Weeknd,Future,1,undirected
Jadakiss,Smoke Dza,1,undirected
French Montana,Meek Mill,1,undirected
Tech N9ne,Rittz,2,undirected
Trae Tha Truth,Ty Dolla $ign,1,undirected
Lyquin,Chris Brown,1,undirected
Redneck Souljers,J Rosevelt,1,undirected
Original Broadway Cast of Hamilton,Ariana DeBose,1,undirected
Ty Dolla $ign,Kevin Gates,1,undirected
Migos,A$AP Ferg,1,undirected
Justin Bieber,Young Thug,1,undirected
Datin,Beleaf,1,undirected
LA Gun Smoke,King Lil G,2,undirected
Dr. Ravi Zacharias,Natalie Sims,1,undirected
Tech N9ne,Big Scoob,1,undirected
Joe Fox,Kanye West,1,undirected
Apollo Brown,Joell Ortiz,1,undirected
Ty Dolla $ign,Trey Songz,4,undirected
Jeremih,Future,1,undirected
Lil Dicky,Jace,1,undirected
Young Life,DJ Drama,1,undirected
Lin-Manuel Miranda,Daveed Diggs,10,undirected
Fashawn,Mistah F.A.B.,1,undirected
C-Murder,Yella,1,undirected
Ariana Grande,Mac Miller,2,undirected
JL B.Hood,Tech N9ne Collabos,1,undirected
Vinnie Paz,O.C.,1,undirected
OG Boobie Black,Kevin Gates,1,undirected
Tech N9ne,Stige,1,undirected
Mos Def,DJ Shadow,1,undirected
Lil Wayne,YG,1,undirected
Wrekonize,Ag Lyonz,1,undirected
Jackie Hill Perry,JGivens,1,undirected
Mac Miller,Anderson .Paak,2,undirected
Ty Dolla $ign,PJ,1,undirected
Domo Genesis,Mac Miller,1,undirected
Square Bizzy,Queen D,2,undirected
Mos Def,A$AP Rocky,1,undirected
Z-Ro,Mistah F.A.B.,1,undirected
The Alchemist,Havoc,11,undirected
Young Thug,DJ Drama,2,undirected
Alexio,Genio,1,undirected
DJ Luian,Jory,1,undirected
The Game,RJ,2,undirected
Shasha,Eric Bellinger,1,undirected
Tech N9ne,Wrekonize,2,undirected
Skeme,Rich Homie Quan,1,undirected
Netta B,Mistah F.A.B.,1,undirected
Tech N9ne Collabos,Krizz Kaliko,4,undirected
DJ Khaled,YG,1,undirected
Dame D.O.L.L.A,Marsha Ambrosius,1,undirected
Lil Dicky,Homie Quan,1,undirected
Txx Will,Big Scoob,1,undirected
The Game,Eric Bellinger,2,undirected
Micah,Payso,1,undirected
Ty Dolla $ign,Fetty Wap,1,undirected
Philthy Rich,Icewear Vezzo,1,undirected
Mista Cain,Doe B,1,undirected
TeeCee4800,DJ Mustard,1,undirected
Aha Gazelle,Chris Durso,1,undirected
Big Noyd,Ghostface Killah,1,undirected
Wiz Khalifa,Travis Scott,1,undirected
Trouble,YFN Lucci,1,undirected
Donnie Trumpet,Omen,1,undirected
JAY Z,Future,1,undirected
Duke,PeeWee Roscoe,1,undirected
Post Malone,Lil Uzi Vert,1,undirected
Murs,Beleaf,1,undirected
Dolly,Young Thug,1,undirected
Diddy,Gizzle,3,undirected
The WDNG Crshrs,DJ Drama,1,undirected
Raekwon,Mobb Deep,2,undirected
Kanye West,Travis Scott,1,undirected
A$AP Rocky,A$AP Nast,1,undirected
Xavier Omär,Mick Jenkins,1,undirected
Yung Lord,A$AP Rocky,1,undirected
Courtney Noelle,Wiz Khalifa,1,undirected
Big Smo,Todd Nielson,1,undirected
Strange Figures,7deucedeuce,1,undirected
Trae Tha Truth,Jay'ton,1,undirected
The Game,J3,1,undirected
Sick Jacken,Apathy,1,undirected
PeeWee Roscoe,Yak Gotti,1,undirected
Randy Nota Loca,De La Ghetto,1,undirected
Mozzy,Sauce Twinz,1,undirected
¡MAYDAY!,Krizz Kaliko,1,undirected
Nipsey Hussle,YG,1,undirected
SiR,Isaiah Rashad,1,undirected
Bas,Cozz,2,undirected
Lyquin,DJ Drama,1,undirected
Lil Dicky,T-Pain,1,undirected
Dreezy,Gucci Mane,1,undirected
Bubba Sparxxx,Demun Jones,1,undirected
Grandmaster Melle Mel,Kool Moe Dee,1,undirected
Meghan Trainor,Wiz Khalifa,1,undirected
Jadakiss,Swizz Beatz,1,undirected
Genio,DJ Luian,2,undirected
Yak Gotti,Young Thug,1,undirected
Salsalino,E-40,1,undirected
Don Trip,Ceo Lil Kenny,1,undirected
The Roots,Busta Rhymes,1,undirected
Bricc Baby,YG,1,undirected
Salsalino,Baby Treeze,1,undirected
Snow Tha Product,K'NAAN,1,undirected
dvsn,Pimp C,1,undirected
The Game,Asia,1,undirected
Elena,Common,1,undirected
NF,Fleurie,1,undirected
Pell,Skizzy Mars,2,undirected
Abk,Blaze Ya Dead Homie,1,undirected
Adrian Marcel,Dame D.O.L.L.A,1,undirected
Mick Jenkins,Noname,1,undirected
Tyga,Kid Ink,1,undirected
Meek Mill,Pusha T,1,undirected
Young Boss,Boogie Man,1,undirected
Kari Faux,Isaiah Rashad,1,undirected
DJ Khaled,Fabolous,1,undirected
Tempo,Farruko,1,undirected
Tish Hyman,Diddy,1,undirected
E MOZZY,June,1,undirected
Future,Meek Mill,1,undirected
Trae Tha Truth,Wiz Khalifa,1,undirected
Nick Brewer,Tiggs Da Author,1,undirected
Justine Skye,Miguel,1,undirected
Hitman Beatz,Philthy Rich,1,undirected
Txx Will,Bakarii,1,undirected
will.i.am,Fergie,2,undirected
Ricco Barrino,E-40,1,undirected
Onyx,A$AP Nast,1,undirected
Fat Joe,Fabolous,1,undirected
Brotha Lynch Hung,Tech N9ne Collabos,1,undirected
Datin,Franky Bells,1,undirected
Skeme,Lil Uzi Vert,1,undirected
Vinnie Paz,Ghostface Killah,1,undirected
Fergie,Snoop Dogg,2,undirected
The Lacs,Redneck Souljers,1,undirected
Anna Wise,Bilal,2,undirected
Mistah F.A.B.,G-Eazy,1,undirected
Ramirez,Pouya,1,undirected
Chris Redd,The Lonely Island,3,undirected
Wiz Khalifa,Snoop Dogg,4,undirected
The Lacs,Demun Jones,2,undirected
