Therapy Session,NF
3001: A Laced Odyssey,Flatbush Zombies
Impossible Kid,Aesop Rock
Popstar: Never Stop Never Stopping (Soundtrack),The Lonely Island
The Sun's Tirade,Isaiah Rashad
Straight Outta Compton: Music From The Motion Picture,Soundtrack
The Silent Partner,Havoc x The Alchemist
Purple Heart,Sevin
TGOD Mafia: Rude Awakening,Juicy J    Wiz Khalifa
and the ANONYMOUS NOBODY,De La Soul
Rich Crack Baby,Young Dolph
The Long Way,Sammy Adams
Big Baby D.R.A.M.,D.R.A.M.
Church In These Streets,Jeezy
Us Or Else (EP),T.I.
MartyrLoserKing,Saul Williams
What I Do All Day & Pickle,Kosha Dillz
The Casket Factory,Blaze Ya Dead Homie
Khalifa,Wiz Khalifa
GO:OD AM,Mac Miller
With Love,Phora
4 Indictments,MO3
Hempire,Berner
Dreams Worth More Than Money,Meek Mill
Slime Season 3,Young Thug
Cozy Tapes, Vol. 1: Friends,A$AP Mob
Blank Face LP,ScHoolboy Q
Yes Lawd!,NxWorries
untitled unmastered.,Kendrick Lamar
Mutant Remixed & Remastered,Twiztid
Savage Mode,21 Savage & Metro Boomin
DS2,Future
The Diary,J Dilla
Lyric Ave (EP),K Camp
x Infinity,Watsky
Top 5 Dead Or Alive,Jadakiss
Young Jefe 2,Shy Glizzy
FREE 6LACK,6LACK
What A Time To Be Alive,Drake & Future
You Are Forgiven (EP),MadeinTYO
The Divine Feminine,Mac Miller
Real Niggas Back In Style,Philthy Rich
Bobby Tarantino,Logic
The Easy Truth,Apollo Brown & Skyzoo
The Return Of Chief Lucas,Don Chief
Canal Street Confidential,Curren$Y
Cold Summer,DJ Mustard
Thug Talk,Boosie BadAzz
Happy Camper,Hoodie Allen
Furious 7,Soundtrack
Free TC,Ty Dolla $ign
It's Complicated,Da' T.R.U.T.H.
Church Clothes 3,Lecrae
The Art Of Hustle,Yo Gotti
As Seen On The Internet,FUTURISTIC
King Of Memphis,Young Dolph
Always Strive And Prosper,A$AP Ferg
Lost In Smoke 2,King Lil G
The Misfit Generation (EP),Social Club Misfits
Lil Uzi Vert Vs. The World,Lil Uzi Vert
The Letter O,Dame D.O.L.L.A.
Reflection,Derek Minor
AT.LONG.LAST.A$AP,A$AP Rocky
The D-Boy Diary: Deluxe Edition,E-40
Quality Street Music 2,DJ Drama
SremmLife,Rae Sremmurd
The Passover,Eshon Burgundy
There's Alot Going On (EP),Vic Mensa
My House (EP),Flo Rida
EVOL,Future
Under Pressure,Logic
Los Favoritos,Arcangel & DJ Luian
Strangeulation II,Tech N9ne Collabos
The Incredible True Story,Logic
Mansion,NF
I'm Up,Young Thug
Forest Hills Drive: Live,J. Cole
Half Way There... Pt 1,Snow Tha Product
Lil Durk 2X,Lil Durk
Contact,Lex The Hex Master
The Documentary 2 + 2.5: Collector's Edition,The Game
Konnichiwa,Skepta
Popstar: Never Stop Never (Soundtrack),The Lonely Island
More Than Ever,Sims
The Head That Wears The Crown,Don Trip
Crowns & Crosses,BIzzle
Genesis,Domo Genesis
Still Brazy,YG
Handshakes With Snakes,Apathy
Go,Krizz Kaliko
Streets Of Compton,The Game
Black America Again,Common
Professional Rapper,Lil Dicky
H.O.G.,Big Scoob
My Filthy Spirit Bomb,G-Mo Skee
This Unruly Mess I've Made,Macklemore & Ryan Lewis
Revenge Of The Dreamers II,Various Artists
The Narrative,Sho Baraka
Alone Together,Skizzy Mars
Campaign,Ty Dolla $ign
The Healing Component,Mick Jenkins
Long Live The Pimp,Pimp C
Radical $Uicide (EP),$uicideBoy$
In My Feelings. ( Goin' Thru It ),Boosie BadAzz
MMM,Puff Daddy & The Family
Blanco Perla,Cosculluela
Chicken Willie,Upchurch
No Hard Feelings,Dreezy
TWENTY88,TWENTY88
The MOBB (EP),MOBB
Heat 1,7deucedeuce
Birds In The Trap Sing McKnight,Travis Scott
Out My Feelings In My Past,Boosie BadAzz
Anything But Words,Banks & Steelz
These Days,Mike Stud
Islah,Kevin Gates
Son Of A Pimp, Part II,Mistah FAB
Wish Me Well 2,YFN Lucci
Rodeo,Travi$ Scott
Blacc Hollywood,Wiz Khalifa
I'm Not A Rapper (EP),Jamesthemormon
Gangsta Bitch Music, Vol. 1,Cardi B
Mr. Blue Benjamin,Peewee Longway
Splendor & Misery,Clipping.
A Fistful Of Peril,CZARFACE
Views,Drake
Bleek Mode: Thug In Peace Lil Bleek,Boosie BadAzz
Coolaid,Snoop Dogg
If You're Reading This It's Too Late,Drake
Creed,Soundtrack
I Told You,Tory Lanez
Ride The Stars,Blaze Ya Dead Homie & The R.O.C. Are... Zodiac Mprint
American King,Slim Thug
The D-Boy Diary: Book 1,E-40
To Pimp A Butterfly,Kendrick Lamar
JEFFERY,Young Thug
Tha Truth, Part Two,Trae Tha Truth
Wisdom And Good Vibes (EP),Dizzy Wright
Rage & The Machine,Joe Budden
See You On The Other Side,Bernz
Prima Donna (EP),Vince Staples
Young Fel,Felly
DC4,Meek Mill
Shottaz Reloaded,MO3
This Time Around (EP),Tedashii
King Push,Pusha T
Sremmlife 2,Rae Sremmurd
The Roar,Datin
Viejo Marihuano,Cartel de Santa
Welcome To Dodge City,The Lacs & Hard Target: Racket Country
Rosecrans (EP),DJ Quik  Problem
New English,Desiigner
Fire In The Church,Montana Of 300
General Admission,Machine Gun Kelly
Lead Poison,Elzhi
Hamilton: An American Musical,Original Broadway Cast
Murder For Hire II,Kevin Gates
Top Of The Line,Rittz
Eraser Shavings,Token
Legends Never Die,Chinx
Fetty Wap,Fetty Wap
The Life Of Pablo,Kanye West
Fishing Blues,Atmosphere
Drink More Water 6,I LOVE MAKONNEN
AIM,M.I.A.
The Documentary 2,The Game
Too High To Riot,Bas
We Got It From Here...Thank You 4 Your Service,A Tribe Called Quest
Layers,Royce Da 5'9"
Prohibition, Part 3,Berner & B-Real
The Godfather,Mista Cain
Savage Life V,Webbie
Cut The Body Loose,Astronautalis
When It's Dark Out,G-Eazy
The D-Boy Diary: Book 2,E-40
Don't Smoke Rock,Smoke DZA x Pete Rock
Summer In The Winter,Kid Ink
Underground Underdog,Pouya
The Hamilton Mixtape,Various Artists
Compton,Dr. Dre
The 702 EP,Dizzy Wright
Drankin & Drivin,Z - Ro
Kairi Chanel,Dave East
Legendary,Z - Ro
Life Sentence 3,Lightshow
The Perfect LUV Tape,Lil Uzi Vert
TGOD Mafia: Rude Awakening,Juicy J    Wiz Khalifah
Black Market,Rick Ross
Trap Or Die 3,Jeezy
To Thine Own Self Be True,La Coka Nostra
Good Religion,Dream Junkies
Americana,Ruslan
L.A.D.'s Ambition,337 Mafia
Peach Panther,RiFF RaFF
The Documentary 2.5,The Game
Mud Digger, Volume 7,Various Artists
Mandatory Check,Mozzy
Block Wars (Soundtrack),The Game
We The People,Big Smo
1992,The Game
Atrocity Exhibition,Danny Brown
Cornerstone Of The Corner,Vinnie Paz
Divine Feminine,Mac Miller
LCV3,Canon
ColleGrove,2 Chainz
2014 Forest Hills Drive,J. Cole
TBA (EP),A Boogie Wit da Hoodie
Keep Up (EP),KSI
Statik Kxng,Statik Kxng
Major Key,DJ Khaled
Coast 2 Coast,FUTURISTIC & Devvon Terrell
Red Friday,YG
Dirtified,Lenny Cooper
Penitentiary Chances,Boosie BadAzz And C-Murder
The Cure,Square Bizzy
Everybody Looking,Gucci Mane
